round,category,value
GR01,Community,10376.29499
GR01,dApp Tech,7273.02
GR01,Infra Tech,21011.76797
GR02,Building Gitcoin,457
GR02,Community,12808.68907
GR02,dApp Tech,61122.13937
GR02,Infra Tech,34156.59568
GR03,Building Gitcoin,1344.877129
GR03,Community,64400.17887
GR03,dApp Tech,41413.36795
GR03,Health,35
GR03,Infra Tech,89801.68512
GR04,Building Gitcoin,10850.25437
GR04,Community,85019.04271
GR04,dApp Tech,63084.17525
GR04,Health,16065.48402
GR04,Infra Tech,81154.16603
GR05,Building Gitcoin,3657.81336
GR05,Community,65257.96179
GR05,dApp Tech,59135.75499
GR05,dGov,7567.095675
GR05,Health,125360.2226
GR05,Infra Tech,67078.12723
GR05,NFTs,6148.320682
GR06,Building Gitcoin,9062.660651
GR06,Community,93972.08419
GR06,Crypto for Black Lives,38433.63353
GR06,dApp Tech,51065.49362
GR06,dGov,3247.504175
GR06,Health,10444.03143
GR06,Infra Tech,145780.3353
GR06,NFTs,3160.847694
GR07,APOLLO,580.4620757
GR07,Building Gitcoin,27017.17989
GR07,Community,186409.1338
GR07,dApp Tech,188359.5443
GR07,dGov,23491.82573
GR07,Health,23110.20872
GR07,Infra Tech,257888.3931
GR07,Matic: Build-n-Earn,175.1157161
GR07,NFTs,12069.63836
GR08,Building Gitcoin,142078.4814
GR08,Community,1151470.92
GR08,dApp Tech,499079.0587
GR08,dGov,43849.17274
GR08,Health,27632.97781
GR08,Infra Tech,541671.0693
GR08,NFTs,25309.02437
GR09,Community,435074.3087
GR09,dApp Tech,398541.7087
GR09,dGov,32584.62111
GR09,Health,8839.210573
GR09,Infra Tech,566704.3067
GR09,NFTs,195600.4945
GR10,Building Gitcoin,59992.90652
GR10,Community,376772.4884
GR10,dApp Tech,486522.6341
GR10,dGov,116456.8964
GR10,Health,4015.468775
GR10,Infra Tech,553252.9422
GR10,NFTs,136491.9524
GR11,Building Gitcoin,94172.84333
GR11,Community,488686.8385
GR11,dApp Tech,718561.7363
GR11,dGov,89464.97892
GR11,Infra Tech,570597.8092
GR11,NFTs,328541.9724
GR12,Community,2211752.935
GR12,dApp Tech,1400210.616
GR12,dGov,129498.9423
GR12,Grants Round 12,1061765.085
GR12,Infra Tech,865030.7328
GR12,NFTs,361266.353
