round_update,round_number,round_start_date,round_end_date,grant_title,grant_id,region,category,url,match_amount,num_contributions,num_unique_contributors,crowdfund_amount_contributions_usd,crowdfund_amount_contributions_usd_update,total,total_update,region_update,count,total_update_grouped,grant_id_update
GR01,1,2019-02-01,2019-02-15,Prysm by Prysmatic Labs,24,north_america,Infra Tech,https://gitcoin.co/grants/24/prysm-by-prysmatic-labs,4306,12,12,1619,1619,5925,5925,north america,1,11639,12
GR01,1,2019-02-01,2019-02-15,MolochDAO,36,none,Community,https://gitcoin.co/grants/36/molochdao,2840,8,8,1216,1216,4056,4056,worlwide,1,24442,8
GR01,1,2019-02-01,2019-02-15,EthHub - Ethereum Information Hub,40,undefined,Community,https://gitcoin.co/grants/40/ethhub-ethereum-information-hub,1408,5,5,1636,1636,3044,3044,worlwide,1,24442,12
GR01,1,2019-02-01,2019-02-15,"ethers.js - Complete, Simple and Tiny",13,north_america,Infra Tech,https://gitcoin.co/grants/13/ethersjs-complete-simple-and-tiny,1358,3,3,1646,1646,3003,3003,north america,1,11639,12
GR01,1,2019-02-01,2019-02-15,Uniswap,48,none,dApp Tech,https://gitcoin.co/grants/48/uniswap,2122,9,9,661,661,2783,2783,worlwide,1,24442,4
GR01,1,2019-02-01,2019-02-15,Gitcoin Grants Official Matching Pool Fund,12,north_america,Infra Tech,https://gitcoin.co/grants/12/gitcoin-grants-official-matching-pool-fund,1000,3,3,1587,1587,2587,2587,north america,1,11639,8
GR01,1,2019-02-01,2019-02-15,"Cryptoeconomics.study - Free, Open-Source Blockchain Course",16,none,Community,https://gitcoin.co/grants/16/cryptoeconomicsstudy-free-open-source-blockchain-,2072,15,15,361,361,2433,2433,worlwide,1,24442,6
GR01,1,2019-02-01,2019-02-15,Connext Network,37,none,Infra Tech,https://gitcoin.co/grants/37/connext-network,738,1,1,1571,1571,2309,2309,worlwide,1,24442,11
GR01,1,2019-02-01,2019-02-15,ZoKrates,29,undefined,Infra Tech,https://gitcoin.co/grants/29/zokrates,1604,8,8,650,650,2254,2254,worlwide,1,24442,9
GR01,1,2019-02-01,2019-02-15,Lighthouse: Ethereum 2.0 Client,25,oceania,Infra Tech,https://gitcoin.co/grants/25/lighthouse-ethereum-20-client,1460,6,5,645,645,2105,2105,oceania,1,2105,12
GR01,1,2019-02-01,2019-02-15,Lodestar (eth2.0 client),21,none,dApp Tech,https://gitcoin.co/grants/21/lodestar-eth20-client,1703,9,9,317,317,2020,2020,worlwide,1,24442,2
