round_update,round_number,round_start_date,round_end_date,grant_title,grant_id,region,category,url,match_amount,num_contributions,num_unique_contributors,crowdfund_amount_contributions_usd,crowdfund_amount_contributions_usd_update,total,total_update,region_update,count,total_update_grouped,grant_id_update
GR12,12,2021-12-01,2021-12-16,Coin Center is educating policy makers about public blockchains,1668,north_america,Community,https://gitcoin.co/grants/1668/coin-center-is-educating-policy-makers-about-publ,340000,6914,5727,103839,103839,443839,443839,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Electronic Frontier Foundation,3974,north_america,Community,https://gitcoin.co/grants/3974/electronic-frontier-foundation,228274,3648,3331,58715,58715,286989,286989,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,The Tor Project,2805,undefined,Infra Tech,https://gitcoin.co/grants/2805/the-tor-project,188295,3497,3069,95280,95280,283574,283574,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Longevity Prize (by VitaDAO),4083,europe,Grants Round 12,https://gitcoin.co/grants/4083/longevity-prize-by-vitadao,176195,920,857,7815,7815,184011,184011,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Rotki - The portfolio tracker and accounting tool that protects your privacy,149,europe,dApp Tech,https://gitcoin.co/grants/149/rotki-the-portfolio-tracker-and-accounting-tool-t,129131,4684,4311,25374,25374,154505,154505,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,The Blockchain Association (BA),4118,north_america,Grants Round 12,https://gitcoin.co/grants/4118/the-blockchain-association-ba,95413,2526,2295,59139,59139,154552,154552,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Kick-starting the market for future carbon,4119,north_america,Grants Round 12,https://gitcoin.co/grants/4119/kick-starting-the-market-for-future-carbon,81902,1365,1252,33099,33099,115001,115001,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,ZigZag Exchange,4352,undefined,Grants Round 12,https://gitcoin.co/grants/4352/zigzag-exchange,75114,14247,10573,166070,166070,241184,241184,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Climate Finance DAO,4041,europe,Community,https://gitcoin.co/grants/4041/climate-finance-dao,74436,1721,1551,9237,9237,83672,83672,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,L2BEAT,3857,europe,Community,https://gitcoin.co/grants/3857/l2beat,72338,8681,7106,40099,40099,112437,112437,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,"Lifespan.io Meets Web3 - Crowdsourced Clinical Trials, Inverse Quadratic Funding, and You!",3998,north_america,Community,https://gitcoin.co/grants/3998/lifespanio-meets-web3-crowdsourced-clinical-trial,66411,581,537,5817,5817,72228,72228,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,ZeroPool - Scaling anonymous transactions for blockchains,172,undefined,dApp Tech,https://gitcoin.co/grants/172/zeropool-scaling-anonymous-transactions-for-block,59964,13363,10488,51954,51954,111918,111918,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Just-DNA-Seq,4048,europe,Community,https://gitcoin.co/grants/4048/just-dna-seq,58413,539,503,10882,10882,69295,69295,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Fight for the Future is building and channeling public support for decentralized tech and cryptocurrencies.,2594,north_america,Community,https://gitcoin.co/grants/2594/fight-for-the-future-is-building-and-channeling-p,54807,1968,1794,50776,50776,105583,105583,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Freedom of the Press Foundation,3509,undefined,Community,https://gitcoin.co/grants/3509/freedom-of-the-press-foundation,53312,1977,1814,47776,47776,101089,101089,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Impetus Longevity Grants,4078,north_america,Grants Round 12,https://gitcoin.co/grants/4078/impetus-longevity-grants,50806,489,453,5540,5540,56346,56346,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Frame: Privacy Focused Native Ethereum Wallet,1143,north_america,dApp Tech,https://gitcoin.co/grants/1143/frame-privacy-focused-native-ethereum-wallet,47492,9383,7310,37325,37325,84817,84817,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Hardhat by Nomic Labs,1592,undefined,dApp Tech,https://gitcoin.co/grants/1592/hardhat-by-nomic-labs,41404,7720,6492,29706,29706,71110,71110,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,DefiLlama,3591,undefined,dApp Tech,https://gitcoin.co/grants/3591/defillama,32651,5403,4637,24262,24262,56913,56913,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,zkCREAM: zero-knowledge Confidential Reliable Ethereum Anonymous Mixer,337,east_asia,Infra Tech,https://gitcoin.co/grants/337/zkcream-zero-knowledge-confidential-reliable-ethe,31001,5668,4960,19775,19775,50777,50777,east asia,1,285554,1
GR12,12,2021-12-01,2021-12-16,Incentivizing Actions That Increase and Maintain Native Ecosystems Through Tokenization,4006,undefined,Community,https://gitcoin.co/grants/4006/incentivizing-actions-that-increase-and-maintain-,25426,442,400,2671,2671,28097,28097,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Atlantis World,3062,europe,dApp Tech,https://gitcoin.co/grants/3062/atlantis-world,25000,6722,5784,53761,53761,78761,78761,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,RSS3 - RSS with human curation,2679,undefined,dApp Tech,https://gitcoin.co/grants/2679/rss3-rss-with-human-curation,25000,10700,8210,46232,46232,71232,71232,worlwide,1,1502191,1
