rank,title,count,crowdfunded,matched,total,category
1,Coin Center is educating policy makers about public blockchains,1,103839,340000,443839,Community
2,Electronic Frontier Foundation,1,58715,228274,286989,Community
3,The Tor Project,1,95280,188295,283574,Infra Tech
4,ZigZag Exchange,1,166070,75114,241184,Grants Round 12
5,Longevity Prize (by VitaDAO),1,7815,176195,184011,Grants Round 12
6,Dark Forest,1,155575,25000,180575,dApp Tech
7,The Blockchain Association (BA),1,59139,95413,154552,Grants Round 12
8,Rotki - The portfolio tracker and accounting tool that protects your privacy,1,25374,129131,154505,dApp Tech
9,Kick-starting the market for future carbon,1,33099,81902,115001,Grants Round 12
10,L2BEAT,1,40099,72338,112437,Community
