round,sum_crowdfund,sum_match,sum_total,count_contributions,count_unique_contributors,count_grants
GR01,13661,25000,38661,128,127,26
GR02,58544,50000,108544,192,179,36
GR03,95115,101880,196995,1898,1693,65
GR04,102619,153554,256173,4806,4481,152
GR05,89817,244388,334205,5353,4993,292
GR06,183528,171639,355167,8323,7604,607
GR07,277941,441161,719102,12334,10791,291
GR08,2081178,349912,2431091,91396,20122,371
GR09,1116601,520744,1637345,148983,118994,654
GR10,1039014,694491,1733505,270411,235877,723
GR11,1360271,929756,2290026,385780,340871,877
GR12,2938956,3090569,6029525,421019,356895,1812
